v,u,t_id_v,t_id_u,interaction_type,t_time_v,t_time_u
2804,2273,934995045903560704,934994569002852353,3,1511755164968,1511755051266
4228,3832,935070070040018945,934579228720238593,3,1511773052116,1511656026426
2500,2982,935225840593338369,935091139572465664,3,1511810190710,1511778075484
5643,4533,935257114380877824,935173059669045248,3,1511817646962,1511797606757
1018,811,935276363640012800,935027309978857472,3,1511822236343,1511762857323
3391,449,935290028535586816,935284752239673344,3,1511825494308,1511824236341
6453,3391,935301195354091521,935290028535586816,3,1511828156685,1511825494308
6453,3095,935302221838684160,935284107990446082,3,1511828401418,1511824082740
6353,6146,935304671823929345,935300952050999297,3,1511828985540,1511828098677
1334,386,935311820146982912,933617290754506752,3,1511830689833,1511426682543
3964,3391,935320362237116417,935290028535586816,3,1511832726426,1511825494308
3391,449,935324396238995456,935294425936248832,3,1511833688207,1511826542730
1615,386,935378006083694592,933617290754506752,3,1511846469790,1511426682543
1334,1760,935408347624259585,935407103359029248,3,1511853703777,1511853407121
2500,332,935587113944227840,935480453657640961,3,1511896324989,1511870895195
2500,5331,935591279307644928,934780147114188803,3,1511897318089,1511703929104
6353,3904,935648735274590208,935636544378957826,3,1511911016659,1511908110123
6353,1550,935679678840414208,935448933270110208,3,1511918394180,1511863380149
2739,5073,935691027230351360,935651642472513536,3,1511921099847,1511911709789
2870,386,935971944251269120,935731994343944193,3,1511988075684,1511930867000
2870,386,935975023512231936,935731994343944193,3,1511988809837,1511930867000
3264,774,936021106699337728,935769979668107266,3,1511999796925,1511939923575
1529,4011,936022072261713920,936006257151852544,3,1512000027133,1511996256517
2273,2804,936022662110777344,936021965285945344,3,1512000167764,1512000001628
6353,3964,936032578036887552,936028847937589249,3,1512002531905,1512001642580
1529,3832,936056707783856128,936044187501305856,3,1512008284885,1512005299817
1210,2273,936057043038781441,936056567786381312,3,1512008364816,1512008251507
2458,1529,936074792167383040,936057485747564544,3,1512012596538,1512008470366
2458,1529,936075047797604352,936057485747564544,3,1512012657485,1512008470366
3832,1529,936075132598067200,936057485747564544,3,1512012677703,1512008470366
3257,315,936155767836512256,936143768272510976,3,1512031902642,1512029041723
1017,3149,936186479151329280,936186395806326785,3,1512039224790,1512039204919
2032,1926,936387280062750720,933189646695014400,3,1512087099458,1511324724254
4463,3904,936403092089708544,936381445706170368,3,1512090869339,1512085708439
1529,3832,936452900263313408,936432687862054912,3,1512102744533,1512097925521
5828,3904,936471251509374977,936381445706170368,3,1512107119811,1512085708439
5828,3904,936472863808172032,936381445706170368,3,1512107504213,1512085708439
6043,3904,936477250173657088,936381445706170368,3,1512108550004,1512085708439
1760,3904,936495783167262720,936381445706170368,3,1512112968614,1512085708439
5974,386,936512648337809410,936474015916466176,3,1512116989584,1512107778897
2644,3353,936528692037132288,936488871713370112,3,1512120814700,1512111320795
4463,3904,936592515590791169,936381445706170368,3,1512136031421,1512085708439
1760,3904,936603115415105537,936381445706170368,3,1512138558616,1512085708439
3973,4289,936724445623812097,936530601150111744,3,1512167485992,1512121269868
5974,386,936747086694854657,936742458976808960,3,1512172884044,1512171780710
4463,3904,936766072337833984,936381445706170368,3,1512177410574,1512085708439
2273,2804,936785152847388672,936784243656597504,3,1512181959722,1512181742000
4915,2256,937132224763146240,936784080535920640,3,1512264708115,1512181704000
2458,2688,937218567115698177,937206331865477123,3,1512285293736,1512282376000
2914,386,937579197379182592,937571531420442625,3,1512371274691,1512369446984
1334,386,937579557929959424,937571531420442625,3,1512371360653,1512369446984
6453,1075,937581403138428928,937578081899786240,3,1512371800585,1512371008740
2681,1822,937598565249048577,937555729224908801,3,1512375892351,1512365679447
6353,6453,937630693168779264,937627173090816000,3,1512383552244,1512382712992
6353,3904,938019829876899840,937980718545747968,3,1512476329665,1512467004797
2663,3287,938028873198878720,938028448458555392,3,1512478485761,1512478384495
6043,4730,938140054211379200,937797038745387008,3,1512504993380,1512423212000
6353,3964,938169878204129281,938032489737502720,3,1512512103974,1512479348011
6453,3964,938193993321529344,938192083147309056,3,1512517853466,1512517398045
6353,3964,938209607926743040,938192083147309056,3,1512521576278,1512517398045
1060,3336,938220890248003584,938208783817252864,3,1512524266193,1512521379795
1334,3391,938930521270136833,938930262892716032,3,1512693455413,1512693393811
3391,1334,938931854484238336,938892689415725056,3,1512693773276,1512684435596
5974,386,938935582314586112,938913520623783942,3,1512694662060,1512689402143
1060,3336,938946219354636288,938945248159457281,3,1512697198128,1512696966577
