t_id,timestamp_ms,uid,nuid,is_reply,is_retweet,is_quote,replied_uid,replied_t_id,retweeted_uid,retweeted_t_id,quoted_uid,quoted_t_id
946772827725742081,1514563206975,810516660800999424,5926,0,1,0,,,3479742436,946699199458021376,,
946772897606991872,1514563223636,810516660800999424,5926,0,1,0,,,438447883,946712759303131137,,
946772912215699463,1514563227119,245421969,1886,0,0,0,,,,,,
946772930297438208,1514563231430,3151126836,2924,0,0,1,,,,,714351036,946771869243383808
946773118604869632,1514563276326,3151126836,2924,1,0,0,714351036,946771869243383808,,,,
946773540614766593,1514563376941,810516660800999424,5926,0,1,0,,,857800597084356608,946772086608891909,,
946773674450812928,1514563408850,810516660800999424,5926,0,1,0,,,3479742436,946772483839025155,,
946774374475972609,1514563575749,810516660800999424,5926,0,1,0,,,774044251470589952,946771203083051008,,
946774541023379456,1514563615457,810516660800999424,5926,0,1,0,,,847030111048118272,946687440084910080,,
946774759718535169,1514563667598,810516660800999424,5926,0,1,0,,,702463217973329924,946771733985374208,,
946775158324281344,1514563762633,810516660800999424,5926,0,1,0,,,956888370,946769437557788673,,
946775922644054017,1514563944861,20912281,1337,0,1,1,,,47475039,946773368321265667,47475039,888369433969909761
946776913959272448,1514564181209,162944319,821,0,1,0,,,847805932813922304,946775157447815169,,
946776961506070528,1514564192545,810516660800999424,5926,0,1,0,,,732970315865718789,946770876871012352,,
946777032909766658,1514564209569,810516660800999424,5926,0,1,0,,,894184313184370688,946771806345609216,,
946777308811194368,1514564275349,20912281,1337,0,1,0,,,49698134,946597987555344384,,
946778115065315328,1514564467575,801180088628711424,5881,0,0,0,,,,,,
946778511179636736,1514564562016,810516660800999424,5926,0,1,0,,,924844549423357952,946761654905085952,,
946778664993091584,1514564598688,810516660800999424,5926,0,1,0,,,921338490775773184,946778358544850944,,
946780805438640128,1514565109010,297407536,2698,0,0,0,,,,,,
946781200986677248,1514565203316,3386537817,3287,1,0,0,25073877,946531657229701120,,,,
946782838887612416,1514565593822,201694330,1297,0,0,0,,,,,,
946784085044690944,1514565890929,2963151673,2681,0,1,0,,,813286,946775081371471872,,
946784917182124038,1514566089326,3246614169,3094,0,0,0,,,,,,
946784967983616001,1514566101438,3246614169,3094,0,0,0,,,,,,
946785053941686272,1514566121932,3246614169,3094,0,0,0,,,,,,
946785150754590725,1514566145014,3246614169,3094,0,0,0,,,,,,
946785256933347330,1514566170329,3246614169,3094,0,0,0,,,,,,
946785324608512002,1514566186464,3246614169,3094,0,0,0,,,,,,
946785364462723073,1514566195966,3246614169,3094,0,0,0,,,,,,
946785400001060865,1514566204439,3246614169,3094,0,0,0,,,,,,
946785566208774147,1514566244066,3246614169,3094,0,0,0,,,,,,
946785813353902082,1514566302990,3246614169,3094,0,0,0,,,,,,
946785870010634241,1514566316498,3246614169,3094,0,0,0,,,,,,
946786291756208129,1514566417050,3246614169,3094,0,0,0,,,,,,
946786485755359232,1514566463303,3246614169,3094,0,0,0,,,,,,
946786579560960000,1514566485668,3246614169,3094,0,0,0,,,,,,
946786685836181506,1514566511006,831564295448121345,6083,0,0,0,,,,,,
946787847431888897,1514566787952,396981910,3762,0,1,0,,,240452829,946775055790309376,,
946787914263826432,1514566803886,391882936,3729,0,0,0,,,,,,
946788008518328322,1514566826358,245421969,1886,0,0,0,,,,,,
946788827024318464,1514567021505,804296555909918720,5902,0,0,0,,,,,,
946789546938720256,1514567193146,740491872594862081,5421,0,1,0,,,2840943972,946731942417809408,,
946790459560439808,1514567410732,231725470,1645,0,0,0,,,,,,
946790919243812864,1514567520329,3246614169,3094,0,1,0,,,1544464105,946562675311603713,,
946791284697714690,1514567607460,3246614169,3094,0,1,0,,,3131275887,946452870081187840,,
946794665549991936,1514568413518,58130204,4847,1,0,0,943936573413789696,946235534145339392,,,,
946795123911876614,1514568522800,58130204,4847,1,0,0,806820644683776002,946213665153236992,,,,
946795276324315137,1514568559138,801180088628711424,5881,0,0,0,,,,,,
946795350328791041,1514568576782,58130204,4847,1,0,0,806820644683776002,946213665153236992,,,,
946795723483418626,1514568665749,2952998461,2666,0,0,0,,,,,,
946796283808825344,1514568799341,740801952775278593,5425,0,1,0,,,789265846904365056,946796154968186880,,
946799290084667399,1514569516093,58130204,4847,1,0,0,806820644683776002,946710407179149312,,,,
946801408396816384,1514570021138,91280435,6432,0,0,0,,,,,,
946802405827579904,1514570258944,20912281,1337,0,1,0,,,47379354,946800773492625408,,
946803099221372930,1514570424262,245421969,1886,0,0,0,,,,,,
946803879882186753,1514570610386,804296555909918720,5902,0,0,0,,,,,,
946803883480887296,1514570611244,804296555909918720,5902,0,0,0,,,,,,
946804035339857921,1514570647450,20912281,1337,0,1,0,,,24382468,946773010882727942,,
946804641345474560,1514570791933,20912281,1337,0,1,0,,,24382468,946799682835177474,,
946809676510871552,1514571992410,99790153,6568,0,0,0,,,,,,
946809921089167360,1514572050722,20245493,1302,0,0,0,,,,,,
946810644539441152,1514572223206,20245493,1302,0,0,1,,,,,1018846544,946623662030954496
